Timestamp	Type	X	Y	Z
878819662	ACC	0.09725952	0.048919678	9.522873
878819668	ACC	0.09725952	0.048919678	9.522873
878819678	ACC	0.09844971	0.022598267	10.089966
878819688	ACC	0.093673706	0.054901123	10.103134
878819698	ACC	0.10084534	0.032165527	10.088776
878819708	ACC	0.10084534	0.023788452	10.094757
878819719	ACC	0.12597656	0.036956787	10.100739
878819729	ACC	0.11401367	0.028579712	10.06723
878819739	ACC	0.1056366	0.028579712	10.099533
878819749	ACC	0.11401367	0.023788452	10.091171
878819759	ACC	0.12956238	0.021392822	10.0720215
878819769	ACC	0.10682678	0.027374268	10.101929
878819779	ACC	0.09007263	0.032165527	10.068436
878819789	ACC	0.091278076	0.033355713	10.094757
878819799	ACC	0.072128296	0.042938232	10.091171
878819809	ACC	0.09246826	0.046524048	10.081589
878819819	ACC	0.07333374	0.029769897	10.049286
878819829	ACC	0.08648682	0.035751343	10.06485
878819839	ACC	0.11280823	0.024978638	10.083984
878819849	ACC	0.11520386	0.045318604	10.089966
878819860	ACC	0.09605408	0.036956787	10.092361
878819870	ACC	0.11520386	0.030960083	10.104324
878819880	ACC	0.10203552	0.045318604	10.082794
878819890	ACC	0.09725952	0.021392822	10.082794
878819900	ACC	0.10203552	0.0118255615	10.10672
878819910	ACC	0.08529663	0.0118255615	10.08638
878819920	ACC	0.09965515	0.022598267	10.10672
878819930	ACC	0.1056366	0.018997192	10.08757
878819940	ACC	0.07810974	-1.373291E-4	10.101929
878819950	ACC	0.08888245	0.018997192	10.08757
878819960	ACC	0.09007263	0.021392822	10.079208
878819970	ACC	0.07810974	0.038146973	10.091171
878819980	ACC	0.09246826	0.015411377	10.082794
878819990	ACC	0.10084534	0.038146973	10.097153
878820001	ACC	0.09486389	0.047714233	10.08638
878820011	ACC	0.09486389	0.052505493	10.104324
878820021	ACC	0.10801697	0.050109863	10.091171
878820031	ACC	0.1211853	0.040542603	10.082794
878820041	ACC	0.1104126	0.046524048	10.094757
878820051	ACC	0.09486389	0.062072754	10.062454
878820061	ACC	0.082901	0.047714233	10.058868
878820071	ACC	0.1104126	0.017807007	10.083984
878820081	ACC	0.11520386	-0.002532959	10.1210785
878820091	ACC	0.09486389	0.010635376	10.100739
878820101	ACC	0.09844971	0.021392822	10.095947
878820111	ACC	0.08409119	-0.0037231445	10.093552
878820121	ACC	0.1056366	0.013015747	10.089966
878820131	ACC	0.082901	0.027374268	10.089966
878820142	ACC	0.10682678	0.0046539307	10.088776
878820152	ACC	0.1211853	0.029769897	10.093552
878820162	ACC	0.12835693	0.0034484863	10.095947
878820172	ACC	0.12358093	0.005844116	10.049286
878820182	ACC	0.10682678	0.0022583008	10.076813
878820192	ACC	0.08769226	0.017807007	10.075607
878820202	ACC	0.10324097	0.009429932	10.110306
878820212	ACC	0.07810974	0.0070343018	10.109116
878820222	ACC	0.10203552	0.009429932	10.081589
878820232	ACC	0.08409119	-0.00970459	10.113892
878820242	ACC	0.08888245	0.0034484863	10.094757
878820252	ACC	0.08888245	0.030960083	10.088776
878820262	ACC	0.09486389	-1.373291E-4	10.093552
878820272	ACC	0.09246826	0.033355713	10.118683
878820283	ACC	0.08769226	0.041732788	10.104324
878820293	ACC	0.076919556	0.05369568	10.093552
878820303	ACC	0.1056366	0.033355713	10.094757
878820313	ACC	0.09965515	0.06088257	10.094757
878820323	ACC	0.10801697	0.034561157	10.069626
878820333	ACC	0.13075256	0.050109863	10.089966
878820343	ACC	0.11520386	0.017807007	10.050491
878820353	ACC	0.091278076	0.041732788	10.10791
878820363	ACC	0.093673706	0.014221191	10.089966
878820373	ACC	0.09007263	0.017807007	10.103134
878820383	ACC	0.09725952	0.018997192	10.04451
878820393	ACC	0.09844971	0.023788452	10.089966
878820403	ACC	0.09246826	0.027374268	10.10553
878820413	ACC	0.074523926	0.026184082	10.097153
878820423	ACC	0.1056366	0.044128418	10.082794
878820434	ACC	0.09844971	0.03933716	10.093552
878820444	ACC	0.09246826	0.054901123	10.083984
878820454	ACC	0.091278076	0.048919678	10.101929
878820464	ACC	0.1104126	0.034561157	10.088776
878820474	ACC	0.1104126	0.028579712	10.103134
878820484	ACC	0.10801697	0.0034484863	10.092361
878820494	ACC	0.091278076	0.017807007	10.113892
878820504	ACC	0.093673706	0.005844116	10.083984
878820514	ACC	0.09246826	-0.0013427734	10.063644
