Timestamp	Type	X	Y	Z
1187754984	ACC	-0.43336374	2.6959534	9.385557
1187754994	ACC	-0.28013015	2.5929997	9.531608
1187755004	ACC	-0.035914123	2.5810282	9.395134
1187755014	ACC	0.12450229	2.638491	9.213169
1187755024	ACC	0.13168511	2.6959534	9.150918
1187755034	ACC	0.031125572	2.727079	9.186832
1187755044	ACC	-0.17478207	2.7318676	9.26345
1187755054	ACC	-0.29689008	2.7989073	9.244295
1187755064	ACC	-0.339987	2.8252442	9.105427
1187755074	ACC	-0.26337022	2.8635526	9.012051
1187755084	ACC	-0.13647367	2.762993	9.004868
1187755094	ACC	-0.019154198	2.6935592	9.055147
1187755104	ACC	0.031125572	2.6097596	9.208381
1187755114	ACC	0.0670397	2.595394	9.407105
1187755124	ACC	0.09577099	2.6097596	9.591465
1187755134	ACC	0.07422252	2.5666625	9.632168
1187755144	ACC	0.098165266	2.4948344	9.553157
1187755154	ACC	0.13168511	2.5092	9.435837
1187755164	ACC	0.16041641	2.52596	9.301758
1187755174	ACC	0.13647367	2.5594797	9.277815
1187755184	ACC	0.13886794	2.5068057	9.184438
1187755194	ACC	0.26097596	2.4780743	9.115005
1187755204	ACC	0.35914123	2.4589202	9.091062
1187755214	ACC	0.3328042	2.473286	9.155706
1187755224	ACC	0.25139886	2.5307484	9.270632
1187755234	ACC	0.117319465	2.5929997	9.361614
1187755244	ACC	0.0	2.6169424	9.3831625
1187755254	ACC	-0.08619389	2.6648278	9.395134
1187755264	ACC	-0.09577099	2.6959534	9.39274
1187755274	ACC	-0.15083931	2.7175019	9.404712
1187755284	ACC	-0.14365649	2.7079248	9.395134
1187755294	ACC	-0.13647367	2.6791935	9.390346
1187755304	ACC	-0.13647367	2.6648278	9.364009
1187755314	ACC	-0.07422252	2.604971	9.304152
1187755324	ACC	-0.03351985	2.5666625	9.2490835
1187755334	ACC	-0.0023942748	2.5594797	9.186832
1187755344	ACC	-0.062251143	2.6169424	9.153313
1187755354	ACC	-0.076616794	2.6624336	9.088667
1187755364	ACC	-0.10055954	2.6241252	9.057542
1187755374	ACC	-0.08140534	2.6145482	9.067119
1187755384	ACC	-0.10774237	2.5906053	9.205987
1187755394	ACC	-0.076616794	2.5546913	9.311335
1187755404	ACC	-0.035914123	2.545114	9.411894
1187755414	ACC	0.023942748	2.52596	9.397529
1187755424	ACC	0.09577099	2.5331428	9.344854
1187755434	ACC	0.10774237	2.5211713	9.2419
1187755444	ACC	0.047885496	2.569057	9.131764
1187755454	ACC	-0.016759925	2.6337023	9.100638
